Frame#,Time,Front.Head,,,Top.Head,,,Rear.Head,,,L.Shoulder,,,R.Shoulder,,,L.Elbow,,,R.Elbow,,,L.Wrist,,,R.Wrist,,,L.ASIS,,,R.ASIS,,,Sacral,,,L.Knee,,,R.Knee,,,L.Ankle,,,R.Ankle,,,L.Toe,,,R.Toe,,,L.Heel,,,R.Heel,,,R.Thigh,,,R.Scapula,,,R.Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,3.1,918.10785,-116.31094,1673.99658,775.05621,-150.85063,1699.90784,738.8042,-161.37025,1604.64209,795.4552,76.23858,1361.33459,827.00397,-352.10602,1368.32947,737.30634,116.12033,1133.10596,729.94604,-420.93008,1142.88086,950.81604,31.64638,1120.51819,914.7619,-305.85004,1103.92419,822.74579,-17.06156,924.23816,835.00867,-240.73141,918.59723,623.99237,-127.50311,964.37,919.37024,80.8904,491.94064,756.9707,-333.76788,476.6062,834.80927,116.80302,110.57314,546.14258,-386.73581,110.95882,1043.53967,142.44574,-15.67209,736.3382,-425.69849,-32.92253,743.33954,64.9214,42.44064,456.36319,-344.22427,67.26965,834.91388,-301.1915,675.67535,687.80487,-280.31241,1341.23108,845.8512,-229.16258,1599.69202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,3.108,916.51196,-115.90302,1678.1062,773.60956,-151.10518,1703.18433,737.83319,-161.72412,1607.47559,791.46033,75.924,1365.22229,829.70172,-351.32037,1372.58215,732.04956,115.04951,1137.65491,732.73737,-422.49319,1147.72571,946.44409,32.72663,1124.24146,916.03033,-305.01346,1109.39307,820.18024,-18.55334,929.07184,836.06183,-240.57166,923.85986,623.42468,-130.15443,968.66266,913.73303,81.41045,495.4617,756.84729,-333.81836,479.76538,834.69354,116.73654,111.61166,548.5835,-387.65076,114.05581,1043.77686,142.40747,-15.72738,737.23669,-425.58817,-33.04647,743.27386,64.26624,44.31035,457.64746,-345.08853,72.56789,836.66669,-301.44153,677.5827,689.50037,-282.62665,1345.06226,845.5235,-228.66315,1603.60693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,3.117,914.87555,-114.98221,1683.29761,772.7713,-151.18839,1708.07214,735.96997,-161.88742,1612.65808,787.09424,75.55534,1371.01331,832.88068,-351.31973,1378.31726,726.13593,113.93942,1143.63403,736.05688,-424.01111,1154.37915,941.67102,33.67688,1129.13342,917.93756,-304.29819,1116.50574,817.11115,-19.42618,936.18597,835.79053,-240.04797,929.94812,621.39471,-132.2755,974.50623,905.23895,82.83701,498.64984,759.50983,-334.83478,483.89651,833.64392,117.94814,113.49734,552.37775,-388.90659,118.12268,1043.53967,142.44574,-15.67209,737.56879,-424.17361,-34.38096,744.08032,65.2828,46.47515,461.37024,-346.54037,77.9883,838.39111,-302.35989,682.11829,690.99615,-284.14096,1351.0929,845.05951,-228.41757,1608.77356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,3.125,913.85901,-114.15694,1689.35046,771.88141,-150.95171,1714.6261,,,,783.04211,74.95074,1377.82434,835.53918,-351.13675,1385.51807,720.77124,111.98607,1150.69482,738.96808,-426.08167,1162.24939,937.17206,34.35129,1134.75061,919.7879,-303.56601,1124.57617,813.13495,-21.05266,944.85492,836.04163,-240.21843,937.4541,621.85364,-136.67874,981.08472,895.13306,84.17344,502.02368,763.08875,-334.92834,488.58435,833.09369,119.93013,115.73264,556.31873,-390.6048,122.80889,1043.3053,142.91165,-15.82436,736.96637,-425.73218,-33.72963,744.33173,66.60039,49.77982,465.88123,-347.26547,84.37386,839.7843,-302.04022,687.97546,691.5144,-286.53308,1358.15198,843.73584,-227.52539,1615.01038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,3.133,912.64465,-112.78577,1695.99951,771.39722,-150.91875,1722.36035,734.29773,-162.12798,1627.26001,777.70007,74.65264,1386.08325,837.8316,-350.75851,1394.29736,714.89783,110.73692,1159.08496,743.13489,-428.19312,1170.81396,931.5694,35.19182,1142.60437,920.31238,-302.2984,1133.797,809.77979,-22.39607,954.4101,837.59375,-239.6465,946.68408,620.724,-140.09645,990.2179,883.12054,85.20898,506.7796,766.99835,-336.59695,495.56821,831.34821,122.27381,118.93896,561.04712,-392.06299,127.9682,1042.65283,142.45505,-14.55426,737.11517,-426.85532,-33.16743,746.40692,68.66494,54.16743,471.23608,-348.81931,92.51057,842.76178,-300.28561,696.41974,693.30121,-288.42215,1366.10791,844.01703,-227.39719,1622.33704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,3.142,912.72223,-112.21249,1703.80627,771.34631,-151.07414,1730.13623,734.95306,-161.54411,1635.69019,772.9649,74.04557,1395.35803,840.48346,-349.89404,1402.83398,709.60571,109.6774,1168.19946,746.6532,-430.31528,1180.35254,926.06,35.95525,1151.67786,920.83429,-301.21655,1143.64233,805.54083,-23.12171,964.05353,838.11505,-238.79463,956.1626,620.45172,-144.32689,999.79913,870.22406,86.53471,512.42706,769.31403,-337.48978,503.60184,829.95459,124.72404,122.4678,567.00098,-394.20255,133.44896,1042.54858,142.16623,-13.17556,737.69061,-426.18298,-33.99936,747.06128,70.4088,59.10082,477.20569,-349.69012,100.48923,844.90918,-299.08191,704.12109,695.78558,-290.37823,1374.35962,843.65161,-227.14967,1630.30908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,3.15,911.46765,-111.21111,1711.38586,771.10919,-151.0137,1738.86035,733.55212,-162.23418,1644.57007,767.31152,73.21892,1404.78931,843.70032,-349.36935,1413.06299,704.31335,108.27758,1177.65759,750.66071,-432.53104,1190.57397,921.56763,35.27525,1160.823,920.34753,-299.48016,1154.24463,800.80231,-23.83691,973.36652,838.46429,-237.08032,965.42896,,,,856.31805,87.38925,518.19489,772.08618,-338.58798,512.40863,828.95532,127.65067,126.49758,572.85443,-396.13684,138.83064,1042.26868,143.48161,-11.08567,738.25946,-426.3074,-34.3905,748.41119,72.40496,64.03954,484.32529,-350.40671,109.12511,848.02515,-298.02695,713.20013,697.66205,-292.07199,1383.29236,842.95898,-226.59001,1638.50256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,3.158,910.86035,-110.82996,1718.92151,770.263,-150.84065,1746.6709,732.29333,-162.72429,1653.65479,762.0365,72.2191,1414.90369,846.04272,-348.69897,1423.0072,699.13605,107.66583,1187.16687,755.23871,-435.45764,1201.02429,916.60748,34.94943,1170.86414,920.11792,-298.0307,1164.8064,796.32666,-23.76331,982.77325,838.27087,-235.06198,974.76355,,,,842.26343,88.03232,524.90564,774.26813,-339.67581,521.14246,826.7998,130.66284,131.04596,580.13312,-398.17026,144.22145,1041.78442,142.63457,-9.47824,739.83209,-425.2822,-34.92062,749.91956,75.0174,69.21117,491.95715,-351.26874,117.58501,850.51074,-297.26624,721.68396,699.76825,-294.01801,1392.21802,841.74274,-226.36389,1646.14417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,3.167,909.35059,-110.29947,1725.46143,770.17474,-150.44623,1754.64856,,,,755.48816,71.30332,1425.06531,847.82428,-347.23712,1432.84448,693.89679,106.47234,1196.59167,759.3598,-437.82635,1211.12854,910.80316,34.89635,1180.99072,918.93829,-296.6806,1175.52661,791.86786,-23.7293,991.33173,838.20038,-232.75786,983.87512,620.67554,-159.01364,1026.81311,827.45392,88.10332,531.57916,778.64001,-340.76578,528.41705,825.62195,133.48697,135.17497,587.60846,-399.62387,149.71933,1041.40869,142.7469,-8.41308,739.85968,-426.06387,-36.37434,751.20465,77.22466,74.25643,499.88718,-352.21759,127.29299,853.83789,-296.37753,730.00659,702.3233,-295.96783,1401.32605,840.77142,-225.90077,1653.88171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,3.175,907.94916,-109.82781,1732.09448,769.99323,-150.28464,1761.72339,730.11584,-163.26758,1669.40381,749.32794,69.90182,1434.755,850.46265,-345.86652,1442.41382,688.72552,105.63253,1205.72791,763.59247,-440.09656,1221.36694,904.72235,34.4667,1190.88306,917.98981,-295.49051,1186.23975,787.13879,-23.22274,999.68518,837.45032,-230.40309,992.21429,620.6701,-163.02435,1036.66479,812.12891,87.74385,537.6861,783.19415,-341.32895,534.91815,824.0589,135.56256,138.77545,594.90222,-400.77008,154.60533,1040.68945,142.97244,-8.16514,741.06653,-426.02155,-38.44684,750.61188,79.21588,78.58238,507.54556,-351.97812,135.61829,857.61926,-295.65692,739.06421,704.31427,-297.48621,1409.99048,839.94446,-225.63881,1660.74451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,3.183,906.84009,-109.18238,1737.64758,769.75305,-150.33699,1767.67224,729.5072,-163.1347,1676.04272,744.37866,67.65949,1443.63135,852.04071,-344.00021,1450.84888,898.61517,34.42129,1200.02942,766.40576,-442.11279,1230.73621,917.0014,-294.7403,1195.76123,,,,783.17242,-22.97018,1007.43481,836.85132,-227.60011,999.47516,618.37006,-166.67325,1045.45703,799.5799,85.24423,541.93463,788.15527,-341.33392,540.30298,820.30786,137.11513,142.95445,601.26776,-400.465,159.71898,1037.23181,146.49414,-6.19713,742.65857,-425.79718,-40.1051,747.41376,80.15755,84.00997,514.51392,-351.79623,144.15489,860.40393,-294.88132,746.62158,706.48621,-298.95935,1417.92163,839.01605,-225.60683,1666.7677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.3042,105.02073,1214.36182
384,3.192,905.06537,-108.29967,1742.16858,767.97528,-149.99974,1772.80249,728.03442,-163.45897,1681.58301,738.69659,65.68348,1451.50537,854.50598,-342.36505,1458.46191,678.18683,104.03276,1221.90076,769.60419,-444.98843,1239.62549,893.3877,34.22263,1208.75488,916.46442,-294.31433,1204.89478,778.7182,-22.62588,1014.34436,835.6004,-225.12234,1006.17261,619.80286,-172.1758,1052.44702,784.97247,82.67427,546.11414,794.67664,-341.34601,545.49365,813.06274,137.14168,147.11154,607.19165,-400.33731,164.10921,1029.93018,150.03557,-4.16519,744.61469,-425.53549,-42.02363,742.29144,78.66432,88.11078,520.7821,-350.66739,151.87672,863.66309,-294.30603,754.89313,708.74683,-300.82065,1425.44971,837.89496,-225.7009,1671.92847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,3.2,903.23645,-108.55774,1746.37549,766.69904,-150.24951,1776.91907,725.73004,-163.85802,1685.92346,734.2204,63.4656,1458.37183,856.80212,-340.77252,1465.61902,672.8371,102.85567,1228.37305,771.69757,-447.57001,1247.55237,887.75073,34.40473,1216.19543,917.07697,-295.69128,1213.31799,775.00623,-22.69126,1020.96167,833.83008,-222.98306,1012.0791,619.85779,-176.5984,1059.81409,778.63763,77.75101,548.38531,799.99371,-340.0246,548.94501,802.96686,135.67661,149.65833,612.11853,-399.36264,169.01022,1019.70612,153.79375,0.11545,746.9411,-424.91959,-42.81013,733.1463,73.03136,91.08908,526.51337,-349.42963,157.49382,865.04596,-292.5029,761.00653,710.73126,-301.96085,1431.84912,836.49109,-225.57855,1676.13293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,3.208,901.68427,-107.88284,1750.17468,764.31342,-150.44073,1780.45081,723.87231,-163.94754,1688.87012,730.47461,61.63077,1464.04626,858.12341,-338.91733,1470.92761,667.17188,102.50768,1233.37659,772.94843,-450.09531,1253.91711,882.54724,34.74809,1223.00183,915.48596,-295.36951,1218.99854,770.88159,-22.67638,1026.59155,832.64954,-221.12239,1016.48151,618.41882,-179.93755,1066.24451,773.39105,75.91749,552.35168,807.08191,-338.60944,553.09167,789.17242,131.63518,152.11076,616.94629,-398.19379,172.72897,1006.71021,156.9037,5.45445,752.04224,-422.98309,-42.38665,721.49597,66.81836,91.4287,530.80591,-349.07669,160.72565,867.0639,-290.8692,766.60486,712.16003,-303.71344,1437.91711,834.83917,-225.70255,1679.79932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,3.217,899.45593,-107.91529,1753.3606,762.92297,-150.91411,1783.2616,722.56573,-164.74791,1691.87585,726.37335,60.42673,1467.91101,859.46271,-337.77042,1475.01331,662.12439,101.8879,1237.61023,774.74066,-452.70374,1259.65649,877.06927,34.7909,1228.03076,913.51215,-295.31912,1223.30676,767.24933,-23.37791,1030.8269,830.56055,-219.28091,1020.23846,618.86481,-183.39406,1071.70654,771.21356,75.14491,557.07983,813.841,-336.15637,556.27875,774.92078,125.26267,153.50523,622.04559,-396.49347,175.84607,991.73444,158.42336,11.16223,761.32544,-418.64792,-37.6273,708.19171,59.12617,91.17583,534.23041,-349.02444,161.46719,869.42877,-288.03827,771.81726,713.70477,-305.29453,1442.05945,833.39575,-225.45805,1682.59009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,3.225,898.14313,-107.75381,1755.84302,760.96893,-151.1638,1785.58533,721.4353,-164.66661,1693.47534,723.63202,59.19959,1470.68555,860.32611,-336.21707,1478.00354,656.08044,101.06165,1240.62488,775.38068,-455.35461,1264.04443,872.48322,35.08593,1231.55798,912.64728,-295.64374,1226.9613,763.65356,-23.96464,1034.00793,829.46204,-218.61841,1023.5788,617.25696,-186.69101,1076.69812,769.99573,74.41869,561.16461,821.7002,-333.46606,558.43848,758.76245,118.1729,155.10629,627.85089,-394.69348,178.26117,974.19812,159.33589,16.16875,774.43298,-413.26111,-29.62658,691.78766,50.8204,90.17944,538.65552,-349.72461,161.44133,871.48682,-285.31659,775.11475,714.73004,-306.80676,1445.18872,831.81421,-225.99895,1685.06738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,3.233,895.74121,-107.71944,1757.9187,758.22644,-151.78186,1787.29443,719.13135,-164.81961,1695.37219,720.53064,58.70129,1472.04395,860.62671,-336.40625,1479.76038,650.61182,99.95248,1242.6886,776.34521,-457.79553,1267.12952,867.39178,35.51036,1234.1875,911.57983,-296.17621,1229.073,759.34302,-24.25353,1036.1134,828.19147,-217.96465,1025.77112,615.92987,-188.95514,1080.99329,768.24408,72.70773,562.32269,828.53607,-330.01337,560.1153,741.61133,110.49185,157.08461,635.1441,-392.35031,179.16356,954.54828,158.6568,19.3873,786.03729,-406.30182,-24.76633,674.17413,42.60197,91.24336,543.84436,-350.60632,160.36769,873.39862,-281.17453,777.61908,714.23547,-308.30124,1447.18884,830.50195,-225.9413,1687.18237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,3.242,893.38837,-107.88152,1759.68311,756.53827,-151.9976,1788.54553,718.17731,-165.52795,1696.38379,718.09369,58.2227,1472.03833,860.75061,-336.63654,1480.60962,645.37817,98.78268,1243.53894,779.02307,-460.05444,1269.15125,862.92413,35.88303,1235.44861,909.46527,-296.1347,1229.86853,756.05933,-25.41521,1037.63525,825.90863,-217.98997,1027.05176,612.85193,-190.66057,1084.71582,765.57306,72.26047,563.0116,832.76465,-326.97192,561.73315,724.62903,103.08887,159.11696,643.7085,-389.84296,179.62816,933.16559,156.76636,21.35884,801.97412,-398.02155,-18.49165,656.1524,33.42843,92.15842,550.41901,-351.05945,158.36325,875.96179,-277.51593,779.19208,714.88922,-309.33542,1447.82214,828.60352,-225.85698,1688.08301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,3.25,892.4223,-108.04364,1760.30139,754.46045,-152.54686,1789.28467,717.42041,-165.58337,1696.67517,714.99255,58.0439,1471.1687,861.05719,-336.85931,1480.60156,640.23944,97.73327,1244.23633,780.46112,-461.9111,1270.46753,857.7218,36.39728,1235.646,908.19159,-296.20657,1229.06604,752.39374,-26.31476,1038.20117,824.98694,-218.28047,1028.36182,610.66833,-192.70447,1085.73108,761.00751,71.54382,562.63562,837.80878,-323.37344,562.74451,707.02106,94.85712,160.93106,652.60919,-387.86584,178.82677,910.40204,154.11432,21.52107,816.35913,-390.65405,-14.37662,637.3678,23.7591,94.7252,558.30249,-351.4408,154.69374,878.46295,-273.74094,780.72266,713.4682,-310.4548,1448.76294,827.62775,-226.2532,1689.22351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,3.258,889.81622,-108.13702,1760.73804,752.89478,-152.84041,1789.25269,714.88574,-167.28783,1696.82263,712.61847,57.825,1469.32092,860.51569,-337.80969,1479.84692,635.38611,96.52192,1243.25269,781.32874,-463.94968,1271.19629,854.01855,36.53497,1234.8103,906.66034,-295.93042,1226.91187,749.27887,-27.52401,1037.84961,823.60541,-220.26479,1028.80457,608.49341,-194.38553,1086.80762,754.56738,70.35796,562.22638,841.86951,-318.75058,562.97095,689.18549,86.26064,162.56395,662.17987,-385.93777,176.88734,887.73431,150.35388,20.90234,831.57629,-383.08209,-11.26421,618.2384,13.86244,97.78219,567.3396,-352.43982,150.06981,879.9917,-269.25668,781.38013,713.98291,-311.67499,1448.5354,825.55554,-226.66006,1688.9491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,3.267,887.86279,-108.09965,1760.1283,751.6886,-153.81918,1788.90515,712.54889,-167.60001,1696.4906,709.57745,57.55264,1466.83435,860.0155,-338.32877,1478.03455,630.99005,94.88316,1241.88879,782.34973,-465.29874,1270.59521,850.42151,36.89675,1232.60889,906.24017,-295.95038,1223.85779,746.23535,-29.0063,1037.0061,821.72345,-219.86276,1028.15369,610.25391,-198.09004,1086.08887,749.09326,68.88657,561.0907,846.64899,-314.58347,562.98065,671.79156,76.96338,163.83456,671.85931,-383.59354,174.09947,864.24542,145.23854,20.02981,845.12701,-376.19476,-9.29925,599.3382,3.18576,101.28544,576.86359,-352.48358,144.1951,881.40546,-265.17929,781.00806,713.16034,-312.42151,1447.90942,824.16052,-226.85048,1688.6261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,3.275,886.61749,-108.46973,1759.25684,749.4201,-154.21083,1787.62207,711.02307,-167.82935,1695.35242,706.08246,57.52951,1463.93201,859.84424,-338.27371,1476.3573,626.35022,93.66318,1239.98108,782.79364,-466.42941,1269.27417,847.06586,36.75924,1229.27625,903.896,-294.69727,1219.14929,742.88464,-30.56585,1035.56213,820.7655,-221.07933,1027.35083,608.20526,-200.17587,1084.18286,743.70569,67.10585,559.55768,850.62885,-310.05469,562.07794,654.15662,68.66454,165.43488,682.65735,-381.82925,170.2583,841.15155,139.75502,18.40497,860.81171,-367.86884,-7.22483,580.4707,-7.72145,104.18224,586.93384,-351.98987,137.86786,882.62122,-261.48068,780.17523,712.97516,-313.39917,1446.58032,822.62646,-227.28049,1687.38428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,3.283,884.30066,-108.92904,1757.79321,747.90143,-154.63158,1785.40479,709.97815,-168.37418,1693.2334,703.6601,57.01015,1460.94678,859.88684,-338.37344,1474.41504,622.32794,91.65215,1237.16724,783.7572,-467.49115,1267.08386,843.78375,36.65248,1225.17859,903.82849,-294.58777,1214.22351,739.82806,-32.00352,1033.30798,819.39374,-222.10132,1025.3894,605.91431,-201.08481,1081.79236,739.44897,65.29128,556.86804,854.63416,-306.27225,559.99774,636.05127,58.91261,166.43327,694.04834,-379.61185,165.99532,819.04486,133.25021,17.16468,878.48175,-358.78439,-4.13952,562.56293,-18.66546,106.85475,597.87366,-351.85565,130.15335,883.69788,-258.77158,778.94342,711.92487,-313.88257,1444.94397,821.55847,-227.65367,1685.45996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,3.292,882.30627,-109.18134,1755.31006,745.5061,-155.75128,1783.03552,707.39844,-169.38205,1690.2113,700.39838,56.03488,1457.07239,859.82056,-338.50079,1471.41211,617.85626,89.85001,1234.2146,784.52539,-467.71906,1264.42322,840.85431,36.74125,1219.67065,903.25995,-294.71899,1208.24512,737.2262,-34.04073,1030.48706,817.93524,-223.35703,1023.33624,603.45941,-202.94679,1078.50366,734.91748,63.59737,553.91547,859.54858,-301.93253,558.61865,619.35596,49.67581,166.75264,705.40692,-377.45883,160.80859,797.85352,124.9987,15.77233,894.2063,-349.14783,-2.66257,544.00256,-29.95777,109.31901,608.5257,-351.63416,122.20886,884.92651,-255.43126,777.42487,711.48285,-314.35059,1442.88208,820.05292,-227.65726,1682.91772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,3.3,880.40814,-109.3502,1752.45459,743.85388,-156.34123,1779.58484,705.72876,-169.8804,1687.12756,697.80359,55.00422,1453.15625,860.09363,-338.03033,1468.15112,614.71613,87.49159,1230.49365,785.56342,-467.96942,1260.56348,837.77795,36.88283,1213.38855,902.05615,-293.77734,1200.97559,734.51599,-35.44154,1027.05286,816.51599,-224.85277,1020.52197,,,,730.74561,61.55935,549.59839,863.42316,-297.64828,556.08148,602.06744,40.48145,167.34579,716.29327,-375.22882,155.51297,776.83392,115.96111,13.07583,909.10175,-338.10574,-1.64737,526.55743,-40.32503,111.64279,620.13501,-352.04971,113.76869,885.60785,-253.28897,775.4093,710.60266,-315.13159,1440.052,817.79962,-228.39297,1679.58923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,3.308,878.05933,-109.39186,1748.94604,741.177,-156.90901,1775.45422,703.88257,-170.73772,1682.49219,695.18262,53.95811,1449.13208,860.62317,-337.34787,1464.72693,611.35144,85.1415,1225.73926,786.70154,-467.65012,1256.48767,835.03772,37.14436,1206.28772,902.2204,-293.73358,1193.27087,731.82507,-36.92613,1022.57916,814.94,-226.24031,1016.28955,598.75159,-206.19429,1068.79333,724.76288,59.33838,545.09827,868.32471,-294.24625,553.33173,585.37439,31.53408,166.73462,728.50964,-372.17841,150.05244,756.68195,106.27095,7.90757,924.55292,-325.89651,-0.23149,510.79077,-50.28134,113.40118,633.09125,-352.91479,105.02325,886.01343,-251.67357,772.29504,710.47375,-315.99969,1436.94336,816.6687,-228.75964,1675.70703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,3.317,875.66217,-109.78156,1744.56653,738.83875,-157.61809,1770.69202,701.91022,-171.5762,1677.85229,692.63635,52.71459,1444.29553,860.92841,-337.27603,1460.19604,607.62061,82.75503,1220.91504,787.07507,-467.78989,1251.70117,832.63708,37.341,1198.22083,901.3772,-293.19183,1184.87805,729.55127,-38.04934,1017.65594,812.76575,-227.2798,1011.45221,596.21484,-208.35767,1063.04785,719.80182,56.91417,539.31171,872.59998,-289.70447,549.56354,570.97009,23.0689,165.1483,740.60333,-369.59641,144.1738,736.88934,95.78392,0.45124,939.05249,-312.41321,0.71827,495.51535,-60.14374,114.27464,645.61884,-353.8465,96.08678,886.61304,-250.2567,769.55951,710.80658,-316.37598,1432.96277,814.98163,-229.05054,1671.22278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,3.325,872.99274,-110.14028,1739.44104,736.83447,-158.7527,1765.50842,700.41455,-172.01973,1672.33716,690.09534,51.39203,1439.20459,860.71973,-336.84967,1454.59302,604.65234,80.30479,1215.44409,788.13306,-466.94922,1245.09375,830.57922,37.2827,1188.75354,900.31842,-292.5679,1174.84619,728.07465,-39.63712,1011.43774,811.26947,-228.19791,1006.00201,594.52771,-209.879,1055.33337,714.07648,54.03863,532.7215,876.38959,-285.30051,545.21722,555.86981,15.04727,162.83914,752.46875,-367.27231,137.79135,718.19196,84.89085,-9.29165,950.7431,-296.58347,1.27726,480.73605,-68.08083,114.84207,658.07642,-355.51532,87.43813,886.97455,-249.18262,765.10822,710.52618,-316.95776,1428.07947,813.20801,-229.34789,1665.86035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,3.333,871.00085,-110.47286,1734.05432,735.02417,-159.22142,1759.05872,699.19287,-172.83736,1665.7572,687.3443,49.66482,1433.35815,860.79803,-336.68756,1448.40601,602.83807,76.62973,1208.80945,787.82178,-467.44116,1238.92932,827.38647,37.57376,1178.94446,900.38623,-292.19589,1164.85254,725.77631,-40.00832,1005.73303,810.72699,-229.41811,999.80713,591.63361,-210.99493,1048.42688,706.80457,50.85563,525.46075,880.74634,-280.28543,540.85034,542.84381,7.60961,158.90219,764.69788,-364.38309,131.76793,699.29822,72.944,-20.98057,962.84454,-280.02258,2.07381,467.81302,-75.58881,113.58418,670.99866,-357.26813,78.33675,887.45441,-247.75195,760.68665,710.2179,-317.44623,1422.83789,811.52283,-229.71225,1660.24231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
