Frame#,Time,Front.Head,,,Top.Head,,,Rear.Head,,,L.Shoulder,,,R.Shoulder,,,L.Elbow,,,R.Elbow,,,L.Wrist,,,R.Wrist,,,L.ASIS,,,R.ASIS,,,Sacral,,,L.Knee,,,R.Knee,,,L.Ankle,,,R.Ankle,,,L.Toe,,,R.Toe,,,L.Heel,,,R.Heel,,,R.Thigh,,,R.Scapula,,,R.Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.075,818.65527,-53.17803,1719.92639,672.02844,-79.72152,1722.14514,650.02197,-80.35612,1623.25354,680.07581,140.8045,1431.9375,790.74121,-253.27254,1420.54016,587.4635,245.63794,1245.6781,740.42877,-385.23145,1209.97363,655.23608,443.04312,1057.70251,865.99469,-471.73331,989.34351,729.2981,91.24139,963.64728,811.60535,-104.71613,954.08734,,,,680.47491,108.78408,470.31601,826.86639,-139.1082,485.17804,562.09601,47.91049,94.16978,814.16473,-176.21423,67.33794,769.53406,109.96725,2.4563,977.37097,4.88959,-2.88777,489.43991,-31.06964,22.29018,738.79279,-196.32228,3.00587,863.65454,-114.51401,698.51135,657.66974,-212.89325,1362.41858,751.27173,-154.8284,1627.54907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.083,815.901,-49.85357,1719.82703,669.96362,-76.49358,1721.91785,648.00702,-77.79703,1623.06628,678.28253,142.97574,1431.46802,789.07532,-251.30319,1420.72595,585.2301,247.32896,1244.74414,739.5296,-382.93997,1210.18628,653.85516,443.68369,1056.29211,865.34003,-466.80161,988.84497,726.24976,92.06419,963.77686,808.25562,-104.66069,954.39948,583.23962,-80.71062,993.98364,677.2605,107.80342,471.17694,824.48242,-137.61195,485.48468,561.73181,47.32458,93.53779,813.99066,-176.05682,67.64104,769.57025,109.93861,2.28098,977.29962,4.81336,-3.01642,489.10135,-31.32472,21.67922,738.79706,-196.26602,3.08758,860.6709,-113.86191,699.03503,655.71686,-211.01692,1363.4021,749.93964,-152.08177,1627.8656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.092,813.34991,-46.47477,1719.83691,668.2981,-73.8951,1721.84717,645.86041,-75.29134,1622.26758,676.28448,145.2018,1430.74207,787.414,-248.50856,1420.94653,583.41339,248.97383,1243.95361,737.90149,-380.00552,1210.57751,652.6507,444.06879,1054.73254,864.07269,-461.93286,988.2179,723.28705,92.90622,963.64294,804.27643,-104.11163,954.17822,,,,675.6076,106.26574,471.08557,823.12476,-137.0575,485.87601,561.43323,46.80067,92.93092,813.83093,-176.02045,67.91511,769.4743,109.98125,2.31159,977.47321,4.92415,-2.94799,489.50607,-31.21675,20.92126,739.00342,-196.11703,3.30209,858.34216,-112.43811,699.83972,653.9082,-208.67986,1364.08557,748.16724,-149.16589,1628.11633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.1,811.74475,-43.12723,1720.16577,666.08331,-70.74348,1721.50024,644.31848,-72.20275,1622.4635,674.85297,147.74097,1430.25671,786.38098,-245.83568,1421.27637,581.15125,250.38571,1243.09766,736.39923,-377.98834,1210.67688,651.44977,444.64691,1053.07251,863.21924,-456.80533,987.8045,720.45343,93.47314,963.78137,800.96088,-103.795,954.08087,,,,673.07178,104.42404,471.2731,821.9563,-135.98026,486.42792,561.70447,45.55078,92.21204,813.70276,-175.75177,68.72232,769.31219,110.01577,2.20262,977.4566,4.88388,-3.01059,488.69461,-31.91481,20.32179,738.78345,-196.11653,3.62477,855.44202,-111.26596,700.4386,651.99866,-206.73941,1365.14783,747.09265,-146.24518,1628.28601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.108,809.34906,-38.89007,1720.66528,663.55969,-67.1695,1721.4248,641.96759,-69.71902,1622.02832,672.84357,150.20071,1429.9552,784.763,-243.58211,1421.76709,578.7251,252.06546,1242.27881,735.21356,-375.42719,1211.05896,650.3266,444.59433,1051.48914,861.39349,-451.85684,987.4411,718.23163,93.78522,963.44568,796.73553,-103.86127,954.57458,571.85144,-76.73073,995.28729,670.35889,103.45416,471.11136,819.8194,-135.27231,486.80814,561.2215,45.21733,91.68883,813.59534,-175.75002,69.34945,769.22845,109.90133,2.25043,977.57324,5.15412,-2.89836,488.51093,-32.17142,19.71811,738.85339,-195.91415,4.01899,852.45142,-110.69225,700.81732,649.7251,-204.77925,1366.26563,745.24628,-142.83438,1628.67114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.117,807.60889,-35.51788,1720.65881,661.60211,-63.884,1720.93848,639.89392,-67.11539,1622.08008,671.26337,152.39536,1429.11072,783.2467,-241.2464,1422.25281,577.11316,253.87556,1241.37292,733.61865,-372.9202,1211.44446,649.07129,444.9201,1049.54456,860.42126,-446.80289,987.09955,715.13672,94.15706,963.47778,793.35449,-104.3857,954.27075,568.66846,-75.26252,995.61194,667.60681,102.5792,471.14502,818.62164,-134.70245,487.41779,561.19055,45.18144,91.06048,813.74652,-175.68483,69.66993,769.2384,109.74273,2.4795,977.61682,5.14561,-2.96129,489.27863,-32.13987,18.88781,738.77856,-195.99457,4.48658,848.7818,-110.01825,701.60242,648.05402,-202.51764,1367.52954,743.85297,-139.6465,1628.78284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.125,805.52435,-31.68338,1720.68152,659.81287,-60.87285,1720.90698,,,,669.57172,155.16614,1428.48511,781.02911,-238.61646,1422.81567,574.74353,255.61508,1240.55737,732.13843,-370.54626,1211.70105,648.04669,445.1709,1047.2218,859.44153,-441.58676,987.57129,712.96857,94.37836,963.40161,789.44019,-104.65235,954.84753,565.37561,-73.96852,995.81464,664.88483,101.73425,471.15967,816.85828,-134.44719,488.64529,560.89191,44.79554,90.51144,813.45361,-175.63884,70.60919,769.22864,109.62704,2.64705,977.61682,5.14561,-2.96129,489.25427,-32.34522,18.09738,738.78333,-195.90034,4.69318,846.2746,-109.52613,702.28748,645.47211,-200.47198,1368.64233,741.74731,-136.54207,1629.20972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.133,803.08221,-27.5376,1720.95349,657.5567,-57.44415,1720.80188,636.63831,-60.98001,1621.52405,667.91193,157.50969,1427.63147,779.69568,-236.32343,1423.30518,573.12067,256.99576,1239.59644,730.70966,-368.17142,1212.1897,646.13446,445.15353,1045.34937,858.36548,-436.16165,987.28821,710.47107,94.51649,962.98773,785.84314,-105.02393,954.43268,,,,661.82849,101.68893,471.66827,815.40143,-134.23355,489.42679,560.10065,44.3941,89.89296,813.33362,-175.68277,71.17339,768.95923,109.40342,2.91248,977.45087,4.9573,-2.81327,488.8996,-32.44022,17.77828,738.41223,-195.9209,5.06419,842.08319,-109.05704,702.30182,643.21631,-197.9362,1369.96216,740.49548,-133.19521,1629.68848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.142,800.57233,-23.53218,1721.23669,655.15607,-53.47232,1720.8916,635.53418,-57.36855,1621.46277,666.77386,160.228,1426.85742,777.55475,-234.54459,1423.95532,571.41034,258.77164,1238.77026,728.70978,-365.69379,1212.56616,644.89838,445.33936,1043.30774,857.18835,-430.79416,987.15582,708.44513,94.31087,962.78503,782.89752,-106.05112,955.36389,558.20642,-70.84908,998.16357,658.9071,101.62263,471.48758,813.43121,-134.05994,490.54276,559.90198,44.45534,89.80171,813.4519,-175.73547,72.18201,768.92487,109.45352,3.03795,977.39777,4.87607,-2.64117,488.41162,-33.2359,17.27821,739.11658,-195.96404,6.07699,839.49353,-109.98418,703.87982,641.26093,-196.30611,1371.03979,738.60333,-130.13408,1630.85266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.15,799.01233,-19.7661,1721.49731,653.22711,-49.6008,1721.10913,633.5166,-54.46132,1621.5752,665.7923,162.17369,1426.31091,776.02203,-231.74866,1424.71741,569.37628,260.45612,1237.75171,726.6134,-363.0545,1213.30322,643.18555,445.67233,1040.80774,856.23407,-425.54614,987.5296,706.2605,93.97235,962.75854,779.51306,-106.67031,955.26172,554.08514,-69.49293,999.07538,656.20129,101.24731,471.96078,811.52966,-134.85698,490.53928,559.8808,44.34644,89.38735,813.71289,-175.58234,73.0449,768.76929,109.46564,3.24247,977.53217,4.84979,-2.53422,489.15286,-32.70498,16.12865,739.13586,-195.6877,6.72469,835.29291,-110.41272,704.16388,638.87347,-194.07216,1372.39075,736.82251,-126.36825,1631.55273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
