Time,Top.Head,Top.Head,Top.Head,Rear.Head,Rear.Head,Rear.Head,R.Scapula,R.Scapula,R.Scapula,Sacral,Sacral,Sacral,L.Shoulder,L.Shoulder,L.Shoulder,L.Elbow,L.Elbow,L.Elbow,L.Wrist,L.Wrist,L.Wrist,L.ASIS,L.ASIS,L.ASIS,L.Knee,L.Knee,L.Knee,L.Ankle,L.Ankle,L.Ankle,L.Toe,L.Toe,L.Toe,R.Shoulder,R.Shoulder,R.Shoulder,R.Elbow,R.Elbow,R.Elbow,R.Wrist,R.Wrist,R.Wrist,R.ASIS,R.ASIS,R.ASIS,R.Knee,R.Knee,R.Knee,R.Ankle,R.Ankle,R.Ankle,R.Toe,R.Toe,R.Toe
Unnamed: 1_level_1,X2,Y2,Z2,X3,Y3,Z3,X22,Y22,Z22,X12,Y12,Z12,X4,Y4,Z4,X6,Y6,Z6,X8,Y8,Z8,X10,Y10,Z10,X13,Y13,Z13,X15,Y15,Z15,X17,Y17,Z17,X5,Y5,Z5,X7,Y7,Z7,X9,Y9,Z9,X11,Y11,Z11,X14,Y14,Z14,X16,Y16,Z16,X18,Y18,Z18
0.083,669.96362,-76.49358000000001,1721.91785,648.00702,-77.79703,1623.06628,655.71686,-211.01692000000003,1363.4021,583.2396200000001,-80.71061999999999,993.98364,678.28253,142.97574,1431.46802,585.2301,247.32896000000002,1244.74414,653.85516,443.68369,1056.2921099999999,726.2497599999999,92.06419,963.7768599999999,677.2605,107.80341999999999,471.17694000000006,561.73181,47.32458,93.53779,769.57025,109.93861000000001,2.28098,789.07532,-251.30319,1420.72595,739.5296,-382.93997,1210.1862800000001,865.3400300000001,-466.80161,988.8449699999999,808.25562,-104.66069,954.39948,824.48242,-137.61195,485.48467999999997,813.9906599999999,-176.05682,67.64104,977.2996199999999,4.813359999999999,-3.01642
0.092,668.2981,-73.8951,1721.84717,645.86041,-75.29134,1622.2675800000002,653.9082,-208.67986000000002,1364.08557,,,,676.28448,145.2018,1430.74207,583.41339,248.97383,1243.95361,652.6507,444.06879000000004,1054.73254,723.28705,92.90621999999999,963.6429400000001,675.6076,106.26574,471.08557,561.43323,46.800670000000004,92.93092,769.4743,109.98125,2.3115900000000003,787.414,-248.50856000000002,1420.9465300000002,737.9014900000001,-380.00552000000005,1210.57751,864.0726900000001,-461.93285999999995,988.2179,804.27643,-104.11163,954.1782199999999,823.1247599999999,-137.0575,485.87600999999995,813.83093,-176.02045,67.91511,977.47321,4.92415,-2.9479900000000003
0.1,666.08331,-70.74348,1721.5002399999998,644.31848,-72.20275,1622.4635,651.99866,-206.73941000000002,1365.14783,,,,674.85297,147.74097,1430.2567099999999,581.15125,250.38571000000002,1243.09766,651.4497700000001,444.64690999999993,1053.07251,720.45343,93.47314,963.7813699999999,673.07178,104.42404,471.2731,561.70447,45.550779999999996,92.21204,769.31219,110.01576999999999,2.20262,786.38098,-245.83567999999997,1421.2763699999998,736.39923,-377.98834,1210.67688,863.21924,-456.80532999999997,987.8045,800.96088,-103.795,954.0808699999999,821.9563,-135.98026000000002,486.42792000000003,813.70276,-175.75177,68.72232,977.4566,4.88388,-3.01059
0.10800000000000001,663.55969,-67.1695,1721.4248,641.9675900000001,-69.71902,1622.02832,649.7251,-204.77925,1366.26563,571.85144,-76.73073000000001,995.28729,672.84357,150.20071000000002,1429.9552,578.7251,252.06546,1242.27881,650.3266,444.59432999999996,1051.4891400000001,718.23163,93.78522,963.44568,670.3588900000001,103.45416,471.11136,561.2215,45.21733,91.68883000000001,769.22845,109.90133,2.2504299999999997,784.763,-243.58211,1421.76709,735.2135599999999,-375.42719,1211.05896,861.39349,-451.85684000000003,987.4411,796.7355299999999,-103.86126999999999,954.5745800000001,819.8194,-135.27231,486.80814000000004,813.5953400000001,-175.75002,69.34945,977.57324,5.15412,-2.89836
0.11699999999999999,661.6021099999999,-63.88399999999999,1720.93848,639.89392,-67.11539,1622.0800800000002,648.05402,-202.51764,1367.52954,568.66846,-75.26252,995.61194,671.26337,152.39536,1429.11072,577.11316,253.87556,1241.37292,649.0712900000001,444.9201,1049.54456,715.13672,94.15706,963.47778,667.60681,102.5792,471.14502000000005,561.19055,45.18144,91.06048,769.2384,109.74273000000001,2.4795,783.2467,-241.2464,1422.25281,733.61865,-372.9202,1211.44446,860.42126,-446.80289000000005,987.09955,793.35449,-104.3857,954.27075,818.6216400000001,-134.70245,487.41779,813.74652,-175.68483,69.66993000000001,977.61682,5.14561,-2.96129
0.125,659.81287,-60.87285,1720.90698,,,,645.4721099999999,-200.47198,1368.6423300000001,565.3756099999999,-73.96852,995.81464,669.57172,155.16613999999998,1428.4851099999998,574.74353,255.61507999999998,1240.55737,648.04669,445.1709,1047.2218,712.96857,94.37836,963.40161,664.88483,101.73425,471.15967,560.8919099999999,44.79554,90.51144000000001,769.22864,109.62704,2.64705,781.02911,-238.61646000000002,1422.81567,732.13843,-370.54626,1211.70105,859.4415300000001,-441.58675999999997,987.5712900000001,789.44019,-104.65235,954.8475300000001,816.85828,-134.44718999999998,488.64529000000005,813.4536099999999,-175.63884,70.60919,977.61682,5.14561,-2.96129
0.133,657.5567,-57.44415,1720.80188,636.6383099999999,-60.98001,1621.52405,643.2163099999999,-197.9362,1369.96216,,,,667.91193,157.50968999999998,1427.63147,573.12067,256.99576,1239.59644,646.13446,445.15353,1045.34937,710.47107,94.51649,962.98773,661.82849,101.68893,471.66827,560.10065,44.3941,89.89296,768.9592299999999,109.40342,2.91248,779.6956799999999,-236.32342999999997,1423.30518,730.70966,-368.17142,1212.1897,858.36548,-436.16165,987.2882099999999,785.8431400000001,-105.02393000000001,954.4326800000001,815.40143,-134.23355,489.42679000000004,813.33362,-175.68277,71.17339,977.4508699999999,4.9573,-2.81327
0.142,655.15607,-53.472319999999996,1720.8916,635.53418,-57.36855,1621.4627699999999,641.26093,-196.30611000000002,1371.03979,558.20642,-70.84908,998.1635699999999,666.77386,160.22799999999998,1426.8574199999998,571.41034,258.77164,1238.77026,644.89838,445.33935999999994,1043.30774,708.44513,94.31087,962.7850300000001,658.9071,101.62263,471.48758,559.90198,44.45534,89.80171,768.92487,109.45352,3.03795,777.55475,-234.54459,1423.95532,728.70978,-365.69379,1212.5661599999999,857.18835,-430.79416,987.15582,782.89752,-106.05112,955.3638900000001,813.43121,-134.05993999999998,490.54276,813.4519,-175.73547,72.18200999999999,977.3977699999999,4.8760699999999995,-2.6411700000000002
0.15,653.2271099999999,-49.6008,1721.10913,633.5166,-54.46131999999999,1621.5752,638.87347,-194.07216,1372.39075,554.08514,-69.49293,999.0753800000001,665.7923,162.17369,1426.31091,569.37628,260.45612,1237.75171,643.18555,445.67233,1040.80774,706.2605,93.97235,962.75854,656.2012900000001,101.24731,471.96078,559.8808,44.34644,89.38735,768.7692900000001,109.46564,3.24247,776.02203,-231.74866,1424.71741,726.6134,-363.0545,1213.30322,856.23407,-425.54614000000004,987.5296,779.51306,-106.67031000000001,955.26172,811.5296599999999,-134.85698,490.53927999999996,813.71289,-175.58234,73.0449,977.53217,4.8497900000000005,-2.53422
0.158,651.25824,-45.622690000000006,1721.70288,631.82031,-51.296620000000004,1621.66895,636.44263,-191.89956999999998,1373.69507,551.88263,-68.43455,1000.15082,664.60217,164.54247,1425.49072,567.25104,262.07968,1236.95166,641.37335,445.96802,1038.62,704.08508,93.87741,962.5767199999999,652.79468,100.82734,472.23166,559.4078400000001,44.19222,89.16758,768.7522,109.42641,3.19294,773.60077,-229.48889,1425.4520300000001,724.54926,-360.75802999999996,1213.86609,854.35181,-420.18698,987.6420300000001,776.29425,-107.6115,955.6591800000001,810.06732,-134.8289,492.33435,813.62354,-175.83102,74.04321,977.4169300000001,4.844130000000001,-2.43722
0.16699999999999998,648.95831,-42.23922,1721.8974600000001,629.41125,-48.38906,1622.31897,634.10333,-190.11664,1375.1084,548.90631,-67.4073,1000.8126800000001,662.86914,166.82397,1425.04431,565.76984,263.68314,1236.18091,639.17206,445.65378,1035.92578,701.94757,93.87241,962.44574,649.51849,100.87416999999999,472.7485,559.23016,44.09766,89.04803000000001,768.6433099999999,109.41861999999999,3.30944,771.3659700000001,-227.86397000000002,1426.25403,722.60565,-358.39337,1214.47864,853.1203,-414.65689,988.02307,772.8304400000001,-108.05225,955.8879400000001,808.18823,-135.77966,493.64925999999997,813.6911,-175.69011,75.06133,977.3801900000001,4.89567,-2.17219
0.175,647.10138,-37.94845,1722.14905,627.58398,-45.20046,1622.56421,631.9243799999999,-187.79701,1376.62659,546.4395099999999,-66.28088000000001,1001.7257699999999,661.50073,168.88846,1424.54199,564.02148,265.16733,1235.0914300000002,637.70435,445.84875,1033.42883,700.23492,93.57539,962.5083599999999,646.81628,100.5962,473.02910999999995,558.70459,44.00306,88.83559,768.50189,109.56266000000001,3.5226800000000003,769.81061,-226.12296,1427.26404,720.14264,-356.41916000000003,1215.62805,851.32422,-409.39896,988.9595300000001,769.42877,-108.44828999999999,956.35724,805.85675,-136.27559,495.01154,813.9653900000001,-175.75488,76.13776999999999,977.2869900000001,4.93182,-1.9687599999999998
0.183,645.36761,-34.02259,1722.3215300000002,626.19513,-41.54096,1623.62402,629.26428,-185.59346000000002,1378.18359,541.79132,-63.91536,1003.64941,660.4422,170.93825,1423.6286599999999,562.99298,266.36401,1234.4099099999999,635.7554299999999,445.55704000000003,1031.0011,697.97504,93.38231,962.57391,643.39844,100.52068,473.29031,557.83276,43.89888,88.58261,768.59784,109.48843000000001,3.65918,767.2843,-224.13135,1428.39746,717.2616,-354.40512,1216.33728,850.04932,-404.72049,990.2085599999999,766.8006,-109.34908,957.3707300000001,804.1055299999999,-137.30185,495.94089,814.24237,-176.02551,77.2201,977.38,4.9794,-1.7265099999999998
0.192,643.43652,-30.38715,1723.8646199999998,624.34454,-38.71024,1624.25427,627.51648,-183.83243000000002,1379.78735,540.43896,-63.382580000000004,1004.51935,658.91016,173.26089,1423.27698,561.40729,267.70908,1233.41699,633.7452400000001,445.81198,1028.26123,696.1458700000001,93.67374000000001,962.5894800000001,640.4755200000001,100.04449,473.65494,557.48914,43.67495,88.27356999999999,768.6417799999999,109.3057,3.6323,765.44318,-222.24053999999998,1429.59924,715.00049,-352.13437000000005,1217.4563,847.95245,-398.80664,991.22827,763.83972,-109.18128,957.5269199999999,801.7125900000001,-138.33076,496.76025,814.3042,-176.16876000000002,78.50072,977.48407,5.05819,-1.54425
0.2,641.6460599999999,-26.15425,1725.0231899999999,622.3646200000001,-36.066309999999994,1624.6525900000001,625.3449099999999,-181.95168,1381.55859,537.50195,-62.34005,1005.7764300000001,657.77844,175.43985,1422.99426,559.89703,269.06009,1232.4664300000002,631.77655,445.5517,1025.68616,694.53088,93.76355,962.8286099999999,636.52704,99.70052,473.96628,557.0412,43.69047,88.5164,768.57813,109.44368,3.74327,763.53143,-220.46782000000002,1430.92102,711.99713,-350.20801,1218.33923,846.1873800000001,-393.97927999999996,993.09552,760.5971099999999,-109.29711999999999,958.53235,799.6496599999999,-139.31357,498.36478,814.5817900000001,-176.20631,79.93361999999999,977.8996,4.84699,-1.29198
0.20800000000000002,640.18542,-22.6525,1725.10559,620.7554299999999,-32.99688,1625.50781,623.15576,-179.7883,1383.21887,536.94135,-62.57623,1006.4472699999999,656.38641,177.09785,1422.51819,558.93079,270.19912999999997,1231.6073,629.84009,445.28740999999997,1023.2088,692.4581900000001,93.68732,962.87781,633.26801,99.6425,474.55695,556.3840299999999,43.45517,88.33731999999999,768.6899400000001,109.40696000000001,3.86405,761.26782,-218.93546,1431.94812,709.4343299999999,-348.27951,1219.64124,844.4191300000001,-389.29269,995.02948,757.4284700000001,-109.68822,958.92529,797.16357,-140.61458000000002,499.56714000000005,814.63049,-176.21916000000002,80.56866,978.8005400000001,4.40402,-1.03514
0.217,638.8183,-18.8217,1725.9238300000002,618.20935,-30.51953,1626.50037,621.39893,-178.17094,1384.7476800000002,532.46313,-61.2135,1008.1812699999999,655.55402,178.89676,1421.81665,557.95911,271.00442999999996,1230.59338,627.87811,444.71268,1020.4227900000001,690.6394,93.44453,963.27856,630.19073,99.0567,475.21755999999993,555.74084,43.37576,88.27919,768.63635,109.43738,3.9378800000000003,759.93201,-216.81482999999997,1433.2821,705.95331,-346.63358,1220.91309,842.47656,-385.40237,996.43927,754.9101,-109.8727,959.7938800000001,794.4393299999999,-141.25011999999998,500.97687,814.47864,-176.61148,81.88776999999999,979.6737099999999,3.63985,-1.22567
