X14,Y14,Z14
838.13257,-150.5363,483.0939
835.69116,-147.6494,483.03284
834.46753,-146.55615,483.56622000000004
832.56836,-145.44695,483.62172999999996
831.21613,-144.59875,484.12494000000004
829.94482,-142.82956000000001,484.33743
828.32892,-141.6924,484.20325
827.30896,-139.65883,484.34241
826.86639,-139.1082,485.17804
824.48242,-137.61195,485.48467999999997
823.1247599999999,-137.0575,485.87600999999995
821.9563,-135.98026000000002,486.42792000000003
819.8194,-135.27231,486.80814000000004
818.6216400000001,-134.70245,487.41779
816.85828,-134.44718999999998,488.64529000000005
815.40143,-134.23355,489.42679000000004
813.43121,-134.05993999999998,490.54276
811.5296599999999,-134.85698,490.53927999999996
810.06732,-134.8289,492.33435
808.18823,-135.77966,493.64925999999997
805.85675,-136.27559,495.01154
804.1055299999999,-137.30185,495.94089
801.7125900000001,-138.33076,496.76025
799.6496599999999,-139.31357,498.36478
797.16357,-140.61458000000002,499.56714000000005
794.4393299999999,-141.25011999999998,500.97687
791.9916400000001,-142.24275,501.92477
789.9762,-143.68126,502.9288
787.43182,-146.07811,504.09972999999997
785.60773,-146.98996,504.6879
783.10223,-148.14096,505.38925
780.77905,-149.1431,506.06122
778.79529,-150.86977,506.96643
776.05328,-152.46967,507.48984
773.5905799999999,-154.83612,507.94894000000005
771.7948,-156.24995,508.69565
767.9599,-158.03999,508.67197000000004
765.41547,-159.47136,508.35257
763.18542,-161.08372,508.98352
760.1286,-162.60093999999998,509.06097
757.97382,-164.08012,509.38132
755.1695599999999,-165.18868999999998,509.51114
753.0903900000001,-166.69145,509.65106
750.98047,-168.27463,510.2934
749.42938,-168.49031000000002,509.94049
748.0051900000001,-168.87999,510.57062
746.61969,-170.83202,510.01883
744.64758,-172.42221,511.05521
743.89801,-173.02101000000002,511.08832
743.23273,-173.64508,511.20132
743.03345,-173.66451,511.71950999999996
742.2113,-174.47281,511.99335
741.82831,-175.10898,512.38153
741.6333599999999,-176.25812,513.08228
741.34772,-177.20991999999998,513.17413
741.552,-178.54671000000002,513.59906
741.7968099999999,-179.40143,514.18945
741.75922,-179.99603000000002,513.9981700000001
741.4715,-180.3331,513.87811
741.3385599999999,-181.00409,513.89899
740.2277799999999,-182.11393999999999,514.1693700000001
739.78949,-182.80706999999998,514.30322
739.63464,-183.30852,514.27802
739.0563400000001,-184.39189,514.30695
738.64368,-184.70192,514.31476
737.84448,-185.89795,514.48785
737.6474,-186.22961,514.0670200000001
736.65735,-188.77675,514.31873
735.26343,-189.75638,514.21082
734.40674,-190.88654,514.58386
733.0387599999999,-192.13242,513.89221
731.9309099999999,-193.28415,513.8656
730.84009,-196.18764,514.1203
728.8634599999999,-197.32347,513.93762
727.44867,-199.72897,514.03235
726.1870700000001,-200.54506,513.52325
724.86578,-202.94011,514.04333
723.82617,-205.25627,513.0072
722.50403,-206.64885,513.01965
721.56952,-208.19218,512.70154
720.4057,-210.50026,511.67117
719.62781,-211.12032000000002,512.41339
718.9953,-213.00525,512.3479
717.03845,-214.02443,512.51367
716.5387599999999,-215.03741000000002,512.28497
715.23883,-216.16492000000002,511.48007
714.97864,-216.84401,511.47153
714.94952,-217.61298,511.14117000000005
714.4195599999999,-218.77155,510.70532000000003
714.2298599999999,-220.28418,510.49091
713.85181,-220.88805,509.94647000000003
714.06244,-221.54007000000001,509.50583
713.4762,-222.44641000000001,508.42830999999995
713.52545,-222.95537000000002,508.1506
713.6051,-223.11638,507.76651
713.1297,-224.30977000000001,506.35962
713.12531,-224.48942999999997,506.13195999999994
713.28491,-224.75839,505.70401
712.70886,-225.38016000000002,504.38962000000004
712.34454,-226.51653,504.0993
712.67291,-225.90634,503.27808
712.59253,-226.30907000000002,502.05620999999996
711.7196,-226.96847999999997,501.67593
711.3219,-227.51054,500.87555
710.83228,-228.91263999999998,500.11429000000004
