X16,Y16,Z16
815.07111,-178.03127,64.93099000000001
814.99927,-177.99903999999998,65.04115999999999
814.93573,-177.89993,65.51335
814.76147,-177.76619,65.64544000000001
814.63385,-177.63278,65.93118
814.57043,-177.51144,66.49805
814.44672,-176.79553,66.90364
814.1514900000001,-176.76744,67.13656
814.16473,-176.21423000000001,67.33794
813.9906599999999,-176.05682,67.64104
813.83093,-176.02045,67.91511
813.70276,-175.75177,68.72232
813.5953400000001,-175.75002,69.34945
813.74652,-175.68483,69.66993000000001
813.4536099999999,-175.63884,70.60919
813.33362,-175.68277,71.17339
813.4519,-175.73547,72.18200999999999
813.71289,-175.58234,73.0449
813.62354,-175.83102,74.04321
813.6911,-175.69011,75.06133
813.9653900000001,-175.75488,76.13776999999999
814.24237,-176.02551,77.2201
814.3042,-176.16876000000002,78.50072
814.5817900000001,-176.20631,79.93361999999999
814.63049,-176.21916000000002,80.56866
814.47864,-176.61148,81.88776999999999
814.63995,-176.32315,82.88356
814.17902,-175.98979,83.48828
813.4975599999999,-175.82158,84.40101999999999
812.0564,-175.81865,85.22592
810.5158700000001,-175.75511,85.40392
808.60767,-175.79956,85.91341
805.04962,-175.37968,85.61208
803.0855700000001,-175.66437,86.3448
800.12323,-175.79422,86.4599
796.35474,-175.85527,86.9814
793.57715,-176.36404,87.13856
791.92413,-177.14606,87.49094000000001
789.47583,-177.86913,87.92183
786.3244599999999,-178.71515,88.0118
783.3489999999999,-180.09861999999998,88.43943
780.64001,-181.39668,88.37244
777.94934,-183.20898,88.33659
773.41724,-184.56763,88.33344
769.16016,-186.97438,88.52901
765.96069,-189.04994,88.52116
762.38098,-191.63246,88.19188
758.52264,-194.45491,88.5644
754.737,-197.53142,88.44798
750.67517,-200.76617,88.66935
746.65918,-204.06198,89.45246
743.2254,-206.91138999999998,89.14605999999999
738.5604900000001,-210.78735,89.76817
734.71021,-214.30887,90.38463
730.52063,-218.19759,90.37697
726.0280799999999,-222.04214,90.93748000000001
721.2864400000001,-225.70226,91.4549
717.2518299999999,-229.80286,92.48829
712.63867,-233.66567999999998,92.83361
708.35516,-237.76675,93.93584
703.97009,-241.3506,94.25407
699.6872599999999,-245.58752,95.37895999999999
695.6684,-249.42139,96.16949
691.19958,-253.45838999999998,96.86291
687.03522,-257.52777000000003,97.73809
683.6510599999999,-261.0329,98.63351
678.54614,-265.45346,99.70464
674.96942,-268.66745,100.66313000000001
671.87531,-272.34955,101.41414
669.2637900000001,-275.60181,102.16003
666.43671,-279.08246,102.43021
663.89709,-281.83224,103.0507
661.21167,-284.99625,103.58339000000001
660.3659700000001,-287.44128,103.79123
657.0639,-290.60651,104.04583000000001
654.3905,-293.31699,104.44998000000001
652.33252,-295.70914,104.44269
650.45135,-297.77484,104.63818
648.50732,-300.16675,104.78843
645.68982,-301.82446,104.87098999999999
643.89124,-303.70462000000003,104.8786
641.77185,-305.55602999999996,104.98163999999998
639.78174,-307.19763,105.42728000000001
638.14172,-308.54938,105.47968999999999
635.96082,-309.66879,105.60831
633.6817599999999,-310.7876,105.58765
631.40637,-312.21484,105.66237
628.98993,-313.4169,105.8251
625.91907,-314.32529,105.78303999999999
623.35248,-315.06772,105.85996999999999
621.11731,-315.91306000000003,105.67727
618.4696700000001,-316.45242,105.65101000000001
615.94385,-316.81671,105.61105
613.93268,-317.59888,105.42155
611.78381,-317.90671000000003,105.6415
608.85168,-317.6958,105.69157
606.74768,-317.62674,105.45591999999999
604.87421,-317.80591,105.02609
602.42188,-317.41895,104.65205
600.47021,-317.37759,104.4502
598.0509,-317.21619,103.38691999999999
595.74695,-315.72827,102.67293000000001
594.07092,-314.85497999999995,101.65305
592.90936,-313.87381,100.24891
591.8756099999999,-312.48355,98.91457
591.32666,-311.38181000000003,97.4509
590.54944,-309.57825,96.60029
589.73212,-308.23334,95.36269
588.73914,-307.02945,94.16643
587.8624900000001,-305.93396,93.31085
587.39996,-304.88268999999997,92.38264000000001
586.5369900000001,-304.22292999999996,91.46533000000001
586.30164,-303.87827000000004,90.71605
585.74518,-303.77117999999996,89.75589000000001
584.74878,-303.91171,89.15571
584.8949,-304.30466,88.38242
584.95599,-305.16074,87.63154
584.5965,-306.27463,87.15358
584.45038,-307.41074,86.60302
584.33972,-308.44525,86.24417
584.35468,-310.23203,86.00381
