X22,Y22,Z22
674.5521200000001,-227.78821000000002,1357.75635
670.93982,-224.54372,1358.57166
669.12915,-223.02548,1359.14282
667.68799,-221.2894,1359.2821
664.64075,-219.91468999999998,1360.23999
663.07336,-218.02432000000002,1360.6375699999999
661.11725,-216.40099999999998,1361.14038
659.11023,-214.49731,1361.79724
657.66974,-212.89325,1362.41858
655.71686,-211.01692000000003,1363.4021
653.9082,-208.67986000000002,1364.08557
651.99866,-206.73941000000002,1365.14783
649.7251,-204.77925,1366.26563
648.05402,-202.51764,1367.52954
645.4721099999999,-200.47198,1368.6423300000001
643.2163099999999,-197.9362,1369.96216
641.26093,-196.30611000000002,1371.03979
638.87347,-194.07216,1372.39075
636.44263,-191.89956999999998,1373.69507
634.10333,-190.11664,1375.1084
631.9243799999999,-187.79701,1376.62659
629.26428,-185.59346000000002,1378.18359
627.51648,-183.83243000000002,1379.78735
625.3449099999999,-181.95168,1381.55859
623.15576,-179.7883,1383.21887
621.39893,-178.17094,1384.7476800000002
619.02771,-176.10629,1386.3328900000001
616.9791299999999,-174.2493,1387.8654800000002
615.07642,-172.83675,1389.57654
612.98059,-170.84663,1390.88477
610.96033,-169.28444,1392.18811
608.57672,-167.56688,1393.2639199999999
607.23828,-166.17445,1394.17871
605.20532,-164.20399,1395.37805
603.49536,-162.67337,1396.3474099999999
601.74835,-161.18098,1397.15076
600.03485,-159.56686000000002,1397.953
598.6646099999999,-158.2491,1398.69409
596.83875,-156.58493,1399.42371
595.422,-155.49261,1399.95532
594.2416400000001,-154.34439,1400.55957
592.7844200000001,-153.09833,1401.05383
591.24365,-151.85374,1401.30139
589.82056,-150.90871,1401.77332
588.81104,-150.17195,1401.90784
587.78473,-149.35464,1402.1228
586.4397,-148.37181,1402.3858599999999
585.05225,-147.65131,1402.58936
584.0893599999999,-147.11366,1402.6076699999999
582.7738,-146.35968,1402.87231
582.08301,-145.71999,1403.17346
581.05853,-145.29358,1403.25317
580.10956,-144.98878,1403.62073
579.42609,-144.67281,1403.79321
578.36212,-144.31663999999998,1404.3075
577.52277,-143.90743999999998,1404.47681
576.34723,-143.48096,1404.70898
575.85522,-143.41446000000002,1404.90491
574.93573,-143.17731,1405.00464
574.43695,-143.25446000000002,1405.01782
573.6854900000001,-143.14183,1405.06982
573.08203,-143.24088,1404.9939
572.39795,-143.36285,1404.96118
571.89362,-143.332,1404.797
570.78204,-143.3299,1404.63708
570.07074,-143.21022,1404.49976
569.5672599999999,-143.40836000000002,1404.47302
568.9508099999999,-143.45673,1404.29321
568.2880200000001,-143.74025,1404.00635
568.04797,-144.0,1403.7305900000001
567.8389900000001,-144.07329,1403.64417
567.51215,-144.76753,1403.5252699999999
567.40259,-145.28173999999999,1403.32141
567.42175,-145.90833,1403.13562
567.65881,-146.51016,1402.91516
567.6394,-146.90218000000002,1402.7627
567.56415,-147.60765,1402.44507
567.56073,-148.29465,1402.16516
567.41833,-148.81721000000002,1401.91406
567.86627,-149.87932,1401.61743
567.7207599999999,-150.5273,1401.48218
568.34125,-151.41585,1401.1228
568.75653,-152.48344,1400.7487800000001
568.53473,-153.31319,1400.55969
568.91888,-154.18225,1400.5601800000002
569.31812,-155.41914,1400.3208
569.5183099999999,-156.51908999999998,1400.20996
569.95209,-157.62462,1400.2854
570.0559099999999,-158.57828999999998,1399.9881599999999
570.41638,-159.99933000000001,1399.68542
571.17206,-161.42493000000002,1399.21362
570.92987,-162.76683,1399.08923
571.5718400000001,-163.96655,1398.39795
572.02301,-165.60387,1398.0361300000002
572.52911,-166.88724,1397.65271
573.2744799999999,-168.66156,1397.14063
574.17297,-170.42145,1396.50293
574.77295,-172.10529,1396.15454
575.69012,-173.86456,1395.73804
576.6517299999999,-175.79547,1395.35852
577.47266,-177.59114,1395.14734
578.26636,-179.4355,1394.62512
578.8911099999999,-181.47734,1394.4201699999999
579.88873,-183.76658999999998,1393.92053
580.80402,-185.5192,1393.44324
581.7026400000001,-187.58981,1393.15234
582.7000099999999,-190.0544,1392.48108
583.43146,-192.0125,1391.89282
584.9884599999999,-194.58636,1391.0449199999998
585.8219,-196.92293,1390.22388
587.28131,-199.76462,1389.3491199999999
588.30518,-202.15495,1388.7603800000002
589.4044200000001,-204.51308999999998,1388.03503
590.99036,-207.31079,1387.03455
592.17047,-210.20442000000003,1386.0929
593.0343,-212.41916,1385.55408
594.35638,-215.37587000000002,1384.64795
595.21857,-217.65907,1383.85022
596.6202400000001,-220.52507000000003,1383.16345
597.33173,-223.11112999999997,1382.4315199999999
598.78296,-225.69092,1381.8256800000001
599.9273099999999,-228.33557000000002,1381.7363300000002
600.56635,-231.08751,1381.2959
601.64697,-233.61052,1381.35437
602.88507,-236.02505,1381.65454
603.2926,-238.04991,1381.5770300000001
604.85321,-240.96989,1381.53223
605.71881,-243.12837000000002,1381.8256800000001
606.52899,-245.43074,1382.00891
607.51605,-247.92347999999998,1382.24475
608.61951,-250.3842,1381.9436
609.8905599999999,-252.66727999999998,1382.19165
610.88928,-255.16074,1382.02576
611.92749,-257.56342,1381.52344
613.00635,-259.4122,1381.1792
614.5502299999999,-261.82132,1380.64429
615.4195599999999,-263.93219,1379.92517
616.4227900000001,-266.35196,1379.28955
617.94507,-268.64645,1378.15491
618.74719,-270.39749,1376.92139
620.39734,-272.94574,1375.5883800000001
621.39117,-275.06482,1373.98621
622.63153,-277.41497999999996,1372.31628
623.24811,-279.40179,1370.40662
624.99872,-281.73605,1368.58789
625.73297,-283.58008,1367.00562
626.86542,-285.82947,1365.72791
628.27771,-288.10708999999997,1365.1104699999999
629.2132,-290.02722,1364.77368
630.84094,-291.91823999999997,1365.06824
631.24554,-293.71701,1365.59338
632.3070700000001,-295.17258,1366.2926
633.16699,-297.08936,1367.05505
633.76501,-298.1279,1368.51404
