X18,Y18,Z18
977.21954,4.6391800000000005,-2.71397
977.2647699999999,4.69292,-2.8022
977.2302199999999,4.67933,-2.74495
977.2647699999999,4.69292,-2.8022
977.1987300000001,4.7393,-2.75368
977.35364,4.6826,-2.85321
977.2663,4.75565,-2.86214
977.29034,4.78052,-2.9077
977.3709699999999,4.88959,-2.88777
977.2996199999999,4.813359999999999,-3.01642
977.47321,4.92415,-2.9479900000000003
977.4566,4.88388,-3.01059
977.57324,5.15412,-2.89836
977.61682,5.14561,-2.96129
977.61682,5.14561,-2.96129
977.4508699999999,4.9573,-2.81327
977.3977699999999,4.8760699999999995,-2.6411700000000002
977.53217,4.8497900000000005,-2.53422
977.4169300000001,4.844130000000001,-2.43722
977.3801900000001,4.89567,-2.17219
977.2869900000001,4.93182,-1.9687599999999998
977.38,4.9794,-1.7265099999999998
977.48407,5.05819,-1.54425
977.8996,4.84699,-1.29198
978.8005400000001,4.40402,-1.03514
979.6737099999999,3.63985,-1.22567
981.7869900000001,2.37242,-0.5804699999999999
984.0831300000001,0.47347,0.50346
985.6279300000001,-1.9888599999999999,2.3557
988.5626199999999,-5.6233699999999995,4.12959
990.45935,-9.17765,6.298690000000001
992.68927,-13.68791,8.18622
994.79663,-18.016,10.761
997.5672,-23.55421,12.938239999999999
997.97455,-27.773809999999997,15.243160000000001
999.0083599999999,-32.79821,16.54042
999.6637599999999,-38.108709999999995,17.56847
999.6424,-42.93161,18.19179
999.57776,-48.38479,17.97874
998.8743900000001,-53.45018,17.47005
997.67609,-58.36915,17.05835
996.0048199999999,-63.2952,16.05106
994.2637900000001,-68.72729,15.69004
992.7204,-73.80025,14.46486
989.9035,-78.4388,13.70925
987.19214,-83.34551,12.62829
983.8513199999999,-87.75925,11.89663
980.47589,-92.39235,10.42105
976.5790400000001,-96.91485,9.02405
972.3964199999999,-100.92461,7.9146600000000005
967.80994,-104.96812,6.12995
962.7656900000001,-108.55945,4.27388
958.10333,-112.57068999999998,2.9271700000000003
952.52411,-116.31403999999999,1.27316
947.17859,-119.68775,-0.052579999999999995
941.73175,-123.90019,-1.50365
936.18665,-127.80711000000001,-2.5133900000000002
931.27228,-131.9001,-3.8693199999999996
925.59558,-136.54251000000002,-5.2083900000000005
920.84454,-140.78598,-6.50092
915.67151,-144.25681,-7.77774
910.8159199999999,-150.45543999999998,-7.52215
906.23419,-155.59888999999998,-8.07338
901.2778900000001,-160.21971000000002,-8.03652
896.90399,-165.52678999999998,-8.22985
892.96869,-169.99437,-8.71702
888.67346,-175.26471,-9.54543
884.7488400000001,-179.93025,-10.335469999999999
881.3657800000001,-184.82375,-10.73944
877.6184699999999,-188.22545,-11.79946
874.3925199999999,-192.70953,-12.74385
871.0627400000001,-196.77306000000002,-13.667639999999999
868.7266199999999,-199.78493999999998,-13.75724
866.34381,-203.52501999999998,-13.692079999999999
864.71881,-207.19731000000002,-13.466460000000001
862.47089,-210.59172,-12.9722
860.73285,-215.28897,-12.33269
860.02515,-218.12537999999998,-11.292
858.3125,-221.74004,-10.4424
857.1511800000001,-225.70358,-10.19096
855.2167400000001,-229.11232,-10.23465
853.73822,-232.91,-10.59558
852.3897699999999,-237.24446,-11.25798
850.22375,-240.49167999999997,-12.069469999999999
848.7362699999999,-243.8331,-13.00724
846.71295,-247.25992000000002,-13.019
844.85785,-250.39061,-12.8362
842.6242699999999,-253.03264,-12.59794
840.82666,-255.99132000000003,-11.518289999999999
838.72876,-258.23267000000004,-11.77742
836.51923,-260.099,-11.53355
832.89136,-263.4447,-12.0144
830.1571,-265.45065,-12.91363
827.96033,-266.78432999999995,-13.43961
825.45526,-267.70947,-14.318670000000001
822.67249,-268.36215,-15.569870000000002
819.86768,-269.01352,-16.3506
816.98151,-269.73236,-17.86461
814.31537,-269.93068999999997,-20.2441
812.03766,-270.51828,-20.538870000000003
810.3382,-272.02701,-20.40834
809.15814,-273.41409,-20.23441
808.39172,-275.16582999999997,-20.053179999999998
807.54974,-277.20676000000003,-19.93228
807.71002,-278.2775,-19.94148
808.00861,-278.65762,-20.34317
808.44141,-279.33008,-20.78818
808.50488,-279.85537999999997,-21.37416
808.60242,-280.32568,-21.74933
808.6936599999999,-280.45621,-22.03789
808.69318,-280.44574,-22.18096
808.7879,-280.48254,-22.41791
808.78625,-280.53116,-22.45261
808.59375,-280.72256,-22.87565
808.20038,-281.40347,-22.865460000000002
808.1188400000001,-281.41699,-23.06631
808.03052,-281.56296000000003,-23.14969
807.80176,-281.84634,-23.814020000000003
807.67792,-281.8927,-23.80348
807.64813,-281.86028999999996,-23.72384
807.92938,-281.63842999999997,-23.400489999999998
807.9556299999999,-281.76315,-23.44623
807.9556299999999,-281.76315,-23.44623
807.87146,-281.6199,-23.21552
807.89844,-281.74273999999997,-23.392689999999998
808.13861,-281.75354,-23.26634
807.89093,-281.61011,-23.58951
807.9556299999999,-281.76315,-23.44623
807.89093,-281.61011,-23.58951
807.92084,-281.54956,-23.70513
807.91132,-281.59494,-23.66631
807.9855299999999,-281.70261,-23.56184
807.9556299999999,-281.76315,-23.44623
807.89844,-281.74273999999997,-23.392689999999998
807.81482,-281.53927999999996,-23.075429999999997
807.75146,-281.48334,-22.980529999999998
807.8306299999999,-281.50781,-22.78952
807.51807,-281.28632000000005,-22.27348
807.5025,-281.55939,-21.63436
807.2854,-281.39883,-21.27214
807.1225599999999,-281.47662,-21.140629999999998
806.86279,-281.46085,-21.19201
806.95953,-281.37585,-21.56243
806.9599599999999,-281.27802,-21.74616
806.9791299999999,-281.06097,-21.98291
806.94672,-281.04446,-22.281589999999998
806.92053,-281.10797,-22.413529999999998
806.98602,-281.12177,-22.497629999999997
807.1478900000001,-281.37329,-22.772289999999998
807.20538,-281.22037,-22.87921
807.3606,-281.46045,-23.17719
807.43121,-281.36005,-23.33962
807.6153,-281.43703999999997,-23.64141
807.57825,-281.57898,-23.7425
807.90692,-281.53458,-24.21132
808.18719,-281.64236,-24.473229999999997
808.36261,-281.81964,-24.693920000000002
808.3226900000001,-281.90512,-24.96247
808.46838,-281.9097,-25.22491
808.60229,-282.12207,-25.72413
808.74414,-281.9606,-25.845879999999998
808.74609,-282.05798,-26.038829999999997
808.68109,-282.5275,-26.348290000000002
808.8457,-282.25647000000004,-26.605520000000002
808.95605,-282.2291,-26.84555
809.16278,-282.2308,-27.039620000000003
809.19116,-282.1506,-27.08418
809.24658,-282.45813,-27.118540000000003
809.53491,-282.42075,-27.29702
809.7927900000001,-282.44504,-27.61842
809.94983,-282.38473999999997,-27.93007
809.02368,-282.67426,-28.979879999999998
809.02368,-282.67426,-28.979879999999998
809.5285,-282.43338,-28.708040000000004
809.45087,-282.41116,-28.98735
810.11011,-281.91848999999996,-29.03527
810.21307,-281.85251,-29.182129999999997
809.85175,-282.33395,-29.0418
810.29761,-281.97232,-29.151770000000003
810.15515,-281.76971000000003,-29.206559999999996
810.2097200000001,-281.67157000000003,-29.33845
810.28857,-281.84381,-29.370140000000003
810.3009,-281.63416,-29.47085
810.3247700000001,-281.70026,-29.48569
810.4892,-281.79376,-29.628559999999997
810.56604,-281.79537999999997,-29.73752
810.68219,-282.01813,-29.9505
810.79944,-281.88266,-30.001559999999998
810.8869599999999,-281.97992,-30.30132
810.8869599999999,-281.97992,-30.30132
810.8869599999999,-281.97992,-30.30132
810.93152,-281.9075,-30.18484
810.95435,-281.95245,-30.398459999999996
810.93152,-281.9075,-30.18484
810.8869599999999,-281.97992,-30.30132
810.76593,-282.28067000000004,-29.88318
810.64026,-282.06818,-29.82775
810.49652,-281.99994,-29.63095
810.32239,-282.03641,-29.49932
810.21149,-282.01447,-29.4883
810.16156,-282.02774,-29.519990000000004
810.39502,-281.62582000000003,-29.53544
810.36017,-281.60007,-29.4955
809.97736,-282.06195,-29.298479999999998
810.18256,-281.59268,-29.38713
810.04626,-281.65756,-29.25024
810.04626,-281.65756,-29.25024
810.04626,-281.65756,-29.25024
810.00867,-281.58801,-29.139909999999997
810.01697,-281.54617,-29.16187
810.01062,-281.50876,-29.35773
810.1319,-281.63431,-29.375320000000002
810.16315,-281.50513,-29.52934
810.20093,-281.52066,-29.575840000000003
810.2814900000001,-281.5466,-29.61307
810.34045,-281.5499,-29.666659999999997
810.3752400000001,-281.57562,-29.7066
810.40497,-281.5574,-29.751040000000003
810.4469,-281.64999,-29.918059999999997
810.51672,-281.65439,-29.877440000000004
810.51672,-281.65439,-29.877440000000004
810.72784,-281.68304,-30.02485
810.64435,-281.78763,-30.11245
810.75641,-281.8154,-30.210720000000002
810.8869599999999,-281.97992,-30.30132
810.8869599999999,-281.97992,-30.30132
810.8869599999999,-281.97992,-30.30132
810.8869599999999,-281.97992,-30.30132
810.9823,-281.99362,-30.39177
811.04962,-281.96616,-30.4889
810.9823,-281.99362,-30.39177
810.9823,-281.99362,-30.39177
811.0919200000001,-282.02551,-30.32116
810.57642,-282.47031,-30.10919
810.7271099999999,-282.36255,-29.9346
810.7271099999999,-282.36255,-29.9346
810.36932,-282.26807,-29.63505
810.25568,-282.46484,-29.54353
810.4989,-282.22388,-29.699479999999998
810.67725,-282.18842,-29.80482
810.7196700000001,-282.19498,-29.85797
810.9164400000001,-281.74463,-30.10855
810.68665,-282.24422999999996,-29.955959999999997
810.84607,-282.23834,-30.00028
810.84607,-282.23834,-30.00028
810.6792,-282.07662999999997,-29.87933
810.79492,-281.68384,-30.05452
810.79425,-281.776,-30.213359999999998
810.69135,-281.49124,-30.390629999999998
810.6403799999999,-281.62665,-30.59142
810.4538,-281.38388,-30.41525
810.2966299999999,-281.2843,-30.18627
810.1279900000001,-281.31628,-30.125190000000003
810.0095200000001,-281.19122000000004,-29.94485
809.87579,-281.21927,-29.82212
809.71954,-281.25821,-29.948390000000003
809.81476,-281.17755,-29.903259999999996
809.78638,-281.18707,-30.08653
810.49823,-281.41891,-30.831870000000002
810.14166,-282.19376,-31.05738
810.2856400000001,-282.12247,-31.296979999999998
810.75385,-281.97815,-31.554479999999998
810.7866799999999,-281.91907000000003,-31.72893
811.07056,-281.98935,-31.93797
811.33807,-282.09171000000003,-32.09313
811.67462,-282.60352,-32.49048
811.9870599999999,-282.09012,-32.39481
812.32056,-282.40796,-32.699670000000005
812.98767,-282.73566,-32.995059999999995
813.68359,-283.04758,-34.27772
814.37909,-283.58078,-35.79623
815.47662,-284.99033,-37.24503
815.76892,-287.47092000000004,-38.70081
812.98633,-293.36682,-39.86197
811.84033,-299.30548,-36.78172
809.77026,-305.78458,-32.755179999999996
809.4150400000001,-312.43082000000004,-26.927690000000002
806.5708,-319.36602999999997,-21.60535
803.3028,-325.77547999999996,-16.25388
799.7810099999999,-331.80655,-10.81904
795.03003,-337.20627,-6.706980000000001
790.36017,-342.57986,-3.3976900000000003
785.15057,-347.52722,-2.32346
779.63501,-351.71988,-1.4446
774.6839,-355.47598,-2.87308
769.89349,-358.6282,-5.03101
765.3879400000001,-361.88184,-7.289969999999999
760.23407,-365.32706,-10.02133
757.1474599999999,-367.19531,-12.56119
754.3194,-368.19777999999997,-15.84586
751.86627,-368.60999,-18.59096
750.69781,-367.30953999999997,-22.898320000000002
746.11938,-366.16425,-31.311809999999998
742.8573,-364.91235,-38.63642
739.38843,-363.61773999999997,-32.82862
738.65057,-363.53882000000004,-32.4324
736.59003,-363.88083,-30.8207
736.00311,-363.1019,-29.615209999999998
736.42749,-363.70123,-28.616190000000003
735.54492,-363.10138,-29.90565
735.41486,-363.26489,-29.99121
736.0741,-362.96741000000003,-30.25644
736.08685,-363.4072,-30.636640000000003
736.14185,-363.66376,-31.062790000000003
736.46771,-363.57052999999996,-31.55514
736.85895,-363.49786,-32.06515
736.2896099999999,-363.54028,-32.81171
736.42633,-363.83493,-32.98728
736.83954,-364.22647,-33.1484
737.55859,-364.88791000000003,-33.71293
738.23901,-365.32767,-34.655440000000006
739.64972,-366.01288,-36.996140000000004
742.62097,-366.48761,-39.149840000000005
