X17,Y17,Z17
770.29388,109.94395,2.54561
770.078,110.2302,3.3683300000000003
769.62402,110.3224,3.45916
769.64465,110.01743,3.4070199999999997
769.55164,110.02501000000001,3.3293800000000005
769.6220099999999,110.27266000000002,3.36562
769.7168,109.83311,3.02983
769.5260599999999,109.95591,2.741
769.53406,109.96725,2.4563
769.57025,109.93861000000001,2.28098
769.4743,109.98125,2.3115900000000003
769.31219,110.01576999999999,2.20262
769.22845,109.90133,2.2504299999999997
769.2384,109.74273000000001,2.4795
769.22864,109.62704,2.64705
768.9592299999999,109.40342,2.91248
768.92487,109.45352,3.03795
768.7692900000001,109.46564,3.24247
768.7522,109.42641,3.19294
768.6433099999999,109.41861999999999,3.30944
768.50189,109.56266000000001,3.5226800000000003
768.59784,109.48843000000001,3.65918
768.6417799999999,109.3057,3.6323
768.57813,109.44368,3.74327
768.6899400000001,109.40696000000001,3.86405
768.63635,109.43738,3.9378800000000003
768.72089,109.46756,4.05419
768.56146,109.42969,3.99608
768.5169099999999,109.40961999999999,4.6041300000000005
768.47943,109.40296000000001,4.36455
768.52081,109.38951000000002,4.42431
768.57452,109.45885,4.52246
768.22528,109.34305,4.65615
768.49792,109.57636000000001,4.93637
768.21698,109.63206000000001,5.27715
768.15387,109.65515,5.35269
767.9455,109.5341,5.72428
767.92609,109.62347,5.58434
768.04901,109.35298,5.831180000000001
768.0253299999999,109.47932,5.89725
768.04095,109.36438999999999,5.99871
768.0686,109.36828999999999,6.15827
767.8077400000001,109.35922,6.2085300000000005
767.51544,109.40758999999998,6.19111
767.5794099999999,109.26369,6.48963
767.5794099999999,109.26369,6.48963
767.5794099999999,109.26369,6.48963
767.5794099999999,109.26369,6.48963
767.61395,109.20585,6.5404599999999995
767.5794099999999,109.26369,6.48963
767.40314,109.34185,6.42148
767.66235,109.14567,6.48305
767.65485,109.24943,6.41132
767.62781,109.20351000000001,6.43222
767.6217,109.31681,6.42777
767.66235,109.14567,6.48305
767.5794099999999,109.26369,6.48963
767.66235,109.14567,6.48305
767.67944,109.33726000000001,6.79432
767.59241,109.14793999999999,6.781160000000001
767.42859,109.33608999999998,7.0544199999999995
767.50067,109.45913999999999,7.264189999999999
767.55035,109.3065,7.12195
767.43353,109.24038,7.2839100000000006
767.44379,109.26472,7.24983
767.55035,109.3065,7.12195
767.50555,109.18105,7.1952
767.3941,109.41736000000002,7.3920699999999995
767.4583700000001,109.40601000000001,7.326039999999999
767.5613400000001,108.97235,6.9974300000000005
767.51166,109.12501999999999,7.1397
767.51422,109.19734,7.128310000000001
767.37097,108.94478000000001,7.63479
767.17206,109.16791,7.7187399999999995
767.19196,109.27721000000001,7.8448899999999995
767.1397099999999,109.20884,8.08526
767.10065,109.24741000000002,8.15375
767.23114,109.31008,8.21327
767.23114,109.31008,8.21327
767.02142,109.19536000000001,8.17602
767.12469,109.21235,8.118260000000001
767.18927,109.1321,8.041730000000001
767.1377,109.08775,8.09805
767.1377,109.08775,8.09805
767.2345,108.69771999999999,7.97404
767.16345,108.96478,8.21418
767.31403,109.00955,8.16615
767.05896,109.04131000000001,8.124889999999999
767.05896,109.04131000000001,8.124889999999999
767.30542,108.91672,8.1648
767.2611099999999,108.84012,8.30911
767.3355700000001,108.93865,8.426639999999999
767.3120700000001,108.95007,8.4573
767.08368,108.89578,8.69995
766.9630099999999,108.82943,8.65139
766.9630099999999,108.82943,8.65139
766.87549,108.85462,8.69931
766.99615,108.92097,8.747860000000001
766.99615,108.92097,8.747860000000001
766.9704,108.91046999999999,8.85703
766.99615,108.92097,8.747860000000001
767.08057,108.81245,8.90376
767.08368,108.89578,8.69995
767.02051,108.87866000000001,8.56978
767.06903,109.1426,8.20682
766.96442,109.12345,8.25239
767.20862,109.28665,7.82178
767.30005,109.22888999999999,7.39946
767.50806,109.25336999999999,7.18381
767.3618799999999,109.35445,6.8255
767.61395,109.20585,6.5404599999999995
767.7320599999999,109.22868000000001,6.26866
767.78467,109.55925,5.67901
768.07526,109.54700000000001,4.773280000000001
768.00391,109.22581000000001,3.9338
768.13672,109.38833999999999,3.17104
768.1560099999999,109.55373999999999,3.01076
768.13007,109.67692,2.89447
768.30267,109.70403999999999,2.73944
768.3606,109.62851,2.59226
768.43604,109.71177,2.39838
768.6875,109.64976999999999,2.3470299999999997
768.59406,109.55016,2.34652
768.80286,109.67724,2.19378
768.79395,109.62025,1.7774599999999998
768.8413099999999,109.81521000000001,2.03671
